Cohort,Chrom,Inv,Allele_N,Obs_Freq_Var,Scaling,Sampled_Variance
Cntrl 2,3R,Adult,400,0.002811300646233065,0.031622776601683014,4.146677106787666e-05
Cntrl 2,3R,Adult,400,0.002811300646233065,0.039810717055348714,3.2817440832186206e-05
Cntrl 2,3R,Adult,400,0.002811300646233065,0.050118723362725916,2.6050711530243934e-05
Cntrl 2,3R,Adult,400,0.002811300646233065,0.06309573444801762,2.07466056829605e-05
Cntrl 2,3R,Adult,400,0.002811300646233065,0.07943282347242595,1.6435038364827023e-05
Cntrl 2,3R,Adult,400,0.002811300646233065,0.09999999999999713,1.303360078530738e-05
Cntrl 2,3R,Adult,400,0.002811300646233065,0.125892541179413,1.0411162424797335e-05
Cntrl 2,3R,Adult,400,0.002811300646233065,0.15848931924610654,8.238263990716084e-06
Cntrl 2,3R,Adult,400,0.002811300646233065,0.19952623149688176,6.554804580330782e-06
Cntrl 2,3R,Adult,400,0.002811300646233065,0.25118864315095,5.1996906146462425e-06
Cntrl 2,3R,Adult,400,0.002811300646233065,0.31622776601682756,4.138739116850643e-06
Cntrl 2,3R,Adult,400,0.002811300646233065,0.3981071705534839,3.290491122268579e-06
Cntrl 2,3R,Adult,400,0.002811300646233065,0.501187233627255,2.6116461689080954e-06
Cntrl 2,3R,Adult,400,0.002811300646233065,0.630957344480171,2.0721114577777367e-06
Cntrl 2,3R,Adult,400,0.002811300646233065,0.794328234724253,1.6459870400534545e-06
Cntrl 6,2L,Adult,200,0.00015639122897506368,3.1622776601683795e-05,0.03151189165218814
Cntrl 6,2L,Adult,200,0.00015639122897506368,3.9810717055349695e-05,0.022824701811215736
Cntrl 6,2L,Adult,200,0.00015639122897506368,5.011872336272715e-05,0.018086630419005056
Cntrl 6,2L,Adult,200,0.00015639122897506368,6.309573444801917e-05,0.013788594672807613
Cntrl 6,2L,Adult,200,0.00015639122897506368,7.94328234724279e-05,0.010988599248669252
Cntrl 6,2L,Adult,200,0.00015639122897506368,9.999999999999958e-05,0.008548775719796174
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.0001258925411794161,0.006758906431863465
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.00015848931924611044,0.005322523732727627
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.00019952623149688666,0.004137592002167233
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.00025118864315095617,0.0033110117404989937
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.00031622776601683534,0.0026084961416747245
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.00039810717055349367,0.0020538980997503453
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.0005011872336272673,0.0016421664095117112
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.0006309573444801866,0.0013014545767600543
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.0007943282347242724,0.0010297156977587434
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.0009999999999999877,0.0008163857227604137
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.0012589254117941508,0.0006480788094614039
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.0015848931924610915,0.000514080721269075
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.0019952623149688503,0.000407429418004635
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.0025118864315095413,0.0003235328924703775
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.003162277660168328,0.00025701274574360065
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.003981071705534904,0.0002044303978869974
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.005011872336272633,0.00016217423867591227
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.006309573444801814,0.0001288941359632592
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.00794328234724266,0.00010216072219237499
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.009999999999999796,8.128216681228856e-05
