Library,Line,Cohort,Chrom,Sample_Ind_N,Inv,Inv_F,Std_F,N_Inv,N_Std,N_Recomb,N_Mismap,N_Multmap
418emb2L.4b,418,Embryo,2L,t,1253,0.3152991871336011,0.684700812866399,141074,306355,0,279,0
418emb2L.5a,418,Embryo,2L,t,1253,0.3226119361750459,0.6773880638249541,157644,331005,0,632,0
418emb2L.5b,418,Embryo,2L,t,1253,0.32116007256194173,0.6788399274380583,279724,591256,0,437,0
418emb2L.6a,418,Embryo,2L,t,1253,0.3019930340839616,0.6980069659160384,206967,478370,0,828,0
418emb2L.6b,418,Embryo,2L,t,1253,0.3015676415852886,0.6984323584147114,385183,892086,0,617,0
418emb2R.1a,418,Embryo,2R,NS,1253,0.2503861973980532,0.7496138026019468,26906,80552,0,210,0
418emb2R.1b,418,Embryo,2R,NS,1253,0.24987590529331205,0.750124094706688,41782,125429,0,124,0
418emb2R.2a,418,Embryo,2R,NS,1253,0.2687948700918384,0.7312051299081617,44517,121100,0,237,0
418emb2R.2b,418,Embryo,2R,NS,1253,0.26990712250944465,0.7300928774905553,66229,179148,0,159,0
418emb2R.3a,418,Embryo,2R,NS,1253,0.2491245413849999,0.7508754586150002,35784,107855,0,232,0
418emb2R.3b,418,Embryo,2R,NS,1253,0.2509257223272791,0.7490742776727208,57058,170332,0,139,0
418emb2R.4a,418,Embryo,2R,NS,1253,0.2513511085827208,0.7486488914172792,33579,100015,0,362,0
418emb2R.4b,418,Embryo,2R,NS,1253,0.2505477889247039,0.7494522110752961,55343,165545,0,247,0
418emb2R.5a,418,Embryo,2R,NS,1253,0.2512840774397471,0.7487159225602529,20988,62535,0,145,0
418emb2R.5b,418,Embryo,2R,NS,1253,0.253350939443342,0.746649060556658,34344,101215,0,79,0
418emb2R.6a,418,Embryo,2R,NS,1253,0.2531411522460814,0.7468588477539186,36144,106638,0,240,0
418emb2R.6b,418,Embryo,2R,NS,1253,0.25381642341563276,0.7461835765843672,57528,169124,0,166,0
418emb3L.1a,418,Embryo,3L,Ok,1253,0.1400697845441317,0.8599302154558683,26856,164877,0,381,0
418emb3L.1b,418,Embryo,3L,Ok,1253,0.1397860336013725,0.8602139663986275,40087,246687,0,224,0
418emb3L.2a,418,Embryo,3L,Ok,1253,0.14524964853188022,0.8547503514681198,64986,382423,0,902,0
